,User Name,Twitter Handle,User Description,Joined,Following,Followers,Profile Image,Profile Banner,Subscriptions
40,Louis Tomlinson,@Louis_Tomlinson,Faith in the future. ,October 2009,"3,407",35.1M,https://pbs.twimg.com/profile_images/1666495285328064512/Ja_2A-h-_200x200.jpg,https://pbs.twimg.com/profile_banners/84279963/1668157980/600x200,
41,Nicki Minaj,@NICKIMINAJ,#PinkFriday2,April 2009,"6,665",28.1M,https://pbs.twimg.com/profile_images/1717601605833695232/tmJ6cbTv_200x200.jpg,https://pbs.twimg.com/profile_banners/35787166/1703813999/600x200,
42,Neymar Jr,@neymarjr,"Filho de Deus, Pai, Feliz e Ousado !",June 2010,598,63.3M,https://pbs.twimg.com/profile_images/1744782751524442113/LgubsOwx_200x200.jpg,https://pbs.twimg.com/profile_banners/158487331/1710348611/600x200,
43,Marshall Mathers,@Eminem,,March 2009,0,22.1M,https://pbs.twimg.com/profile_images/1567245278536953859/aJxLt-q6_200x200.jpg,https://pbs.twimg.com/profile_banners/22940219/1659672605/600x200,
44,Avril Lavigne,@AvrilLavigne,Greatest Hits Tickets Here ,September 2009,153,19.9M,https://pbs.twimg.com/profile_images/1751300318862909440/N3w_Msp3_200x200.jpg,https://pbs.twimg.com/profile_banners/73992972/1706108586/600x200,
45,Neil Patrick Harris,@ActuallyNPH,"Husband, father, random sayer of stuff. ALSO click the link below if you want to level up in Awesometown (or subscribe to exclusive content from yours truly).",November 2009,167,24.4M,https://pbs.twimg.com/profile_images/1045049020794761231/9EXXIIk6_200x200.jpg,https://pbs.twimg.com/profile_banners/90420314/1633094897/600x200,
46,daniel tosh,@danieltosh,founder of ,March 2009,120,23.1M,https://pbs.twimg.com/profile_images/1749509935174705152/HEsbPJnM_200x200.jpg,,
47,David Guetta,@davidguetta,'When We Were Young' with ,March 2009,482,19.5M,https://pbs.twimg.com/profile_images/1716754275269763072/4S6Q3IeS_200x200.jpg,https://pbs.twimg.com/profile_banners/23976386/1710498535/600x200,
48,Conan O'Brien,@ConanOBrien,"The voice of the people. Sorry, people.",February 2010,1,27.5M,https://pbs.twimg.com/profile_images/1746262961612816385/A8HhwbF0_200x200.jpg,,
49,Amitabh Bachchan,@SrBachchan,"""तुमने हमें पूज पूज कर पत्थर कर डाला ; वे जो हमपर जुमले कसते हैं हमें ज़िंदा तो समझते हैं ""~  हरिवंश राय  बच्चन",May 2010,"1,821",48.8M,https://pbs.twimg.com/profile_images/1262261228652675072/Pl_u58Pb_200x200.jpg,https://pbs.twimg.com/profile_banners/145125358/1560199367/600x200,
50,ashton kutcher,@aplusk,"I build things, stories, companies, collaborations of thoughts, dreams, & believe in a future where we all have a right to pursue happiness. +1 (319) 519-0576",January 2009,804,16.4M,https://pbs.twimg.com/profile_images/1727488438394671104/1IaKsk0L_200x200.jpg,https://pbs.twimg.com/profile_banners/19058681/1628041429/600x200,
51,Khloé,@khloekardashian,,April 2009,229,30.1M,https://pbs.twimg.com/profile_images/1745618658351792128/pPtogf8D_200x200.jpg,https://pbs.twimg.com/profile_banners/32959253/1705022909/600x200,
52,Kourtney Kardashian,@kourtneykardash,,March 2009,57,26.3M,https://pbs.twimg.com/profile_images/1069844856128716801/JwrwtGdH_200x200.jpg,https://pbs.twimg.com/profile_banners/23617610/1543905866/600x200,
53,zayn,@zaynmalik,ROOM UNDER THE STAIRS  17 MAY,August 2010,"1,899",30.3M,https://pbs.twimg.com/profile_images/1765242010770780160/1SB6n79-_200x200.jpg,https://pbs.twimg.com/profile_banners/176566242/1709701478/600x200,
54,Shah Rukh Khan,@iamsrk,,January 2010,74,44M,https://pbs.twimg.com/profile_images/1692780873546952704/vXjQc2Og_200x200.jpg,https://pbs.twimg.com/profile_banners/101311381/1454256204/600x200,
55,Coldplay,@coldplay,The official Twitter of the band Coldplay. Latest album Music Of The Spheres out now. Music Of The Spheres World Tour in 2024.,January 2009,757,23.3M,https://pbs.twimg.com/profile_images/1417506973877211138/YIm7dOQH_200x200.jpg,https://pbs.twimg.com/profile_banners/18863815/1634283328/600x200,
56,Mariah Carey,@MariahCarey,Mimi ,January 2009,181,21.6M,https://pbs.twimg.com/profile_images/1612225933737447424/jOjpwk1U_200x200.jpg,https://pbs.twimg.com/profile_banners/19248106/1673216869/600x200,
57,Ed Sheeran HQ,@edsheeran,"Official Ed Sheeran HQ account. 
2024 Tour Dates: ",October 2009,0,17M,https://pbs.twimg.com/profile_images/1736816146110697472/nBXbtsJ8_200x200.jpg,https://pbs.twimg.com/profile_banners/85452649/1702924213/600x200,
58,Christina Aguilera,@xtina, ,March 2011,58,16.2M,https://pbs.twimg.com/profile_images/1736114350371606528/1KJ7khzc_200x200.jpg,https://pbs.twimg.com/profile_banners/268439864/1697220364/600x200,
59,ye,@kanyewest,,July 2010,0,32.3M,https://pbs.twimg.com/profile_images/1276461929934942210/cqNhNk6v_200x200.jpg,https://pbs.twimg.com/profile_banners/169686021/1428444619/600x200,
60,Chris Brown,@chrisbrown,hate me tomorrow but love me tonight,March 2010,0,31.5M,https://pbs.twimg.com/profile_images/1713352024975400961/qmoKzx2B_200x200.jpg,https://pbs.twimg.com/profile_banners/119509520/1697329941/600x200,
61,Salman Khan,@BeingSalmanKhan,"Film actor, artist, painter, humanitarian",April 2010,29,45.6M,https://pbs.twimg.com/profile_images/1562753790369218560/wtiHWrkG_200x200.jpg,https://pbs.twimg.com/profile_banners/132385468/1645007643/600x200,
62,AGNEZ MO,@agnezmo,DREAM BELIEVE & MAKE IT HAPPEN! This account is supervised by management & have full rights to block any parties with negative influence in any form.,May 2009,"1,022",17.5M,https://pbs.twimg.com/profile_images/1671886327917465603/tAjS-Z6T_200x200.jpg,https://pbs.twimg.com/profile_banners/42420346/1687568921/600x200,
63,BEYONCÉ,@Beyonce,,April 2009,9,15.3M,https://pbs.twimg.com/profile_images/1770119184539873280/wHcL6WeX_200x200.jpg,https://pbs.twimg.com/profile_banners/31239408/1710265393/600x200,
64,Blake Shelton,@blakeshelton,"The Official Blake Shelton Twitter. You're getting the real BS straight from Blake himself. (And a few official updates from Team BS, too.)",May 2008,644,19.1M,https://pbs.twimg.com/profile_images/1560491325170106368/bx-M7K53_200x200.jpg,https://pbs.twimg.com/profile_banners/14920785/1680116880/600x200,
65,Ryan Seacrest,@RyanSeacrest,Taller in person,September 2008,581,14.3M,https://pbs.twimg.com/profile_images/1362891881730899968/DwKFmGKN_200x200.jpg,https://pbs.twimg.com/profile_banners/16190898/1696262811/600x200,
66,Ivete Sangalo,@ivetesangalo,“E vai rolar A FESTA!…” ,April 2008,813,16.9M,https://pbs.twimg.com/profile_images/1765761307469336576/MSLzKayt_200x200.jpg,https://pbs.twimg.com/profile_banners/14502789/1709824181/600x200,
67,Leonardo DiCaprio,@LeoDiCaprio,Actor and Environmentalist,April 2010,233,19M,https://pbs.twimg.com/profile_images/694662257586892802/mdc5ELjj_200x200.jpg,https://pbs.twimg.com/profile_banners/133880286/1605632691/600x200,
68,ParisHilton,@ParisHilton,Shop my new ,March 2009,18.3K,16.5M,https://pbs.twimg.com/profile_images/1674599869456220160/pBhevsQ1_200x200.jpg,https://pbs.twimg.com/profile_banners/24929621/1701374252/600x200,
69,will.i.am,@iamwill,http://,June 2009,"1,418",11.5M,https://pbs.twimg.com/profile_images/1756895117456371712/fih4zuYi_200x200.jpg,https://pbs.twimg.com/profile_banners/49573859/1707711424/600x200,
70,Kendall,@KendallJenner,@drink818,June 2010,103,31.7M,https://pbs.twimg.com/profile_images/1704304717554200576/yRiRNBar_200x200.jpg,https://pbs.twimg.com/profile_banners/157140968/1626900189/600x200,
71,Ashley Tisdale,@ashleytisdale,"Dancing my way through tiktok & helping you live your best non toxic life.
✧ Founder of Frenshe + Being Frenshe",December 2008,196,11.8M,https://pbs.twimg.com/profile_images/1554152099033649152/7IN0XFmq_200x200.jpg,https://pbs.twimg.com/profile_banners/18091904/1659045454/600x200,
72,Snoop Dogg,@SnoopDogg,death row catalog streaming everywhere NOW,March 2007,"2,752",20.7M,https://pbs.twimg.com/profile_images/1564375315526275072/7Xnua7BM_200x200.jpg,https://pbs.twimg.com/profile_banners/3004231/1709668976/600x200,
73,Alejandro Sanz,@AlejandroSanz, ,May 2009,"5,131",19.6M,https://pbs.twimg.com/profile_images/1668994160379019264/xQTT2Qhl_200x200.jpg,https://pbs.twimg.com/profile_banners/43152482/1686754202/600x200,
74,Ricky Martin,@ricky_martin,https://,May 2009,425,19.9M,https://pbs.twimg.com/profile_images/1547262386587025409/rzyCrRHB_200x200.jpg,https://pbs.twimg.com/profile_banners/40255499/1657731115/600x200,
75,Ronaldinho,@10Ronaldinho,,April 2009,148,21.5M,https://pbs.twimg.com/profile_images/1537593562619060225/AmmxIwWi_200x200.jpg,https://pbs.twimg.com/profile_banners/29479000/1650911561/600x200,
76,Simon Cowell,@SimonCowell,@syco,November 2011,"2,254",10.4M,https://pbs.twimg.com/profile_images/888341664590331904/zTwHj7D7_200x200.jpg,https://pbs.twimg.com/profile_banners/413487212/1706295526/600x200,
77,Wayne Rooney,@WayneRooney,http://,April 2011,553,16.9M,https://pbs.twimg.com/profile_images/1712045817589112832/KJioLltN_200x200.jpg,https://pbs.twimg.com/profile_banners/285332860/1697018517/600x200,
78,Kevin Durant,@KDTrey5,"IM ME, I DO ME, AND I CHILL. ",April 2009,"1,476",20.9M,https://pbs.twimg.com/profile_images/1563699994393280512/u4KNGaIR_200x200.jpg,https://pbs.twimg.com/profile_banners/35936474/1594930231/600x200,
79,Maroon 5,@maroon5,M5LV 2024 - On Sale Now ,March 2009,468,13.6M,https://pbs.twimg.com/profile_images/1659412329153564673/BEJlxCuC_200x200.jpg,https://pbs.twimg.com/profile_banners/24886570/1702144654/600x200,
80,Kylie Jenner,@KylieJenner,,January 2011,941,40M,https://pbs.twimg.com/profile_images/1762887680617234432/ykwec6z2_200x200.jpg,https://pbs.twimg.com/profile_banners/236699098/1709500151/600x200,
81,Claudia Leitte,@ClaudiaLeitte,Conta oficial da cantora Claudia Leitte ,June 2009,"1,085",14.3M,https://pbs.twimg.com/profile_images/1755954991905255425/3fWvL_e3_200x200.jpg,https://pbs.twimg.com/profile_banners/48332360/1699586032/600x200,
82,Danilo Gentili,@DaniloGentili,"Persona Non Grata.
Desde 1979 estragando tudo e decepcionando pessoas.",March 2008,418,17.2M,https://pbs.twimg.com/profile_images/1587867913574293504/4fMrsn8f_200x200.jpg,https://pbs.twimg.com/profile_banners/14213711/1491155339/600x200,
83,Marcos Mion,@marcosmion,Twitter Oficial Marcos Mion - actor/TV Host/Entrepreneur,April 2009,34,13.7M,https://pbs.twimg.com/profile_images/1536595169159569408/oZItc5nm_200x200.jpg,https://pbs.twimg.com/profile_banners/36152770/1444703906/600x200,
84,Deepika Padukone,@deepikapadukone,,January 2010,66,26.8M,https://pbs.twimg.com/profile_images/1344886403444817920/uvBOq5Wc_200x200.jpg,https://pbs.twimg.com/profile_banners/101695592/1612788132/600x200,
85,Stephen Fry,@stephenfry,Twitter account of Stephen Fry reactivated to prevent impersonation accounts.,July 2008,45K,11.9M,https://pbs.twimg.com/profile_images/1600068849705025537/dzNqyu5m_200x200.jpg,,
86,Charlie Sheen,@charliesheen,"Actor, Dad, world champion air guitarist.",March 2011,189,9.9M,https://pbs.twimg.com/profile_images/751591861127491584/l1swjFY4_200x200.jpg,https://pbs.twimg.com/profile_banners/259379883/1524253760/600x200,
87,Andrés Iniesta,@andresiniesta8, Football player ,November 2009,127,25.2M,https://pbs.twimg.com/profile_images/1567785078666809344/A9FL-ppJ_200x200.jpg,https://pbs.twimg.com/profile_banners/90836187/1662624076/600x200,
88,Hrithik Roshan,@iHrithik,Man on mission- to live the best life possible come what may.,February 2010,91,32.3M,https://pbs.twimg.com/profile_images/1673287602957594626/-mPsrmGn_200x200.jpg,https://pbs.twimg.com/profile_banners/113419517/1459453794/600x200,
